Bomb,Yield (kilotons)
"""Little Boy"" (Hiroshima, 1945) (US)",15
"""Fat Man"" (Nagasaki, 1945) (US)",21
W76 (UK),100
TN-75 (France),150
Agni-II Warhead (India),150
Agni-II Warhead (India),200
TN-80/TN-81 (France),300
W78 (US),335
W88 (UK),475
Nuclear Warhead (China),500
Mod 2 Warhead (Russia),750
Nuclear Warhead (Russia),800
DF-4 Warhead (China),1000
B83 Aircraft Bomb (US),1200
Avangard Warhead (Russia),2000
